Name,Symbol,Isin
Beta ETF WIG20short Portfolio Closed-End Investment Fund (Acc PLN),BETAW20S.PL,
Beta WIG20TR Portfolio Closed-End Investment Fund (Acc PLN),BETAW20T.PL,
Lyxor Stoxx European 600 Banks (Acc EUR),BNK.FR,
Lyxor Euro Stoxx Banks UCITS (Acc EUR),BNKE.FR,
Lyxor CAC 40 Daily Double Short UCITS (Acc EUR),BX4.FR,
Lyxor Euro Stoxx 50 Daily 2X Inverse UCITS (Acc EUR),BXX.FR,
Amundi CAC 40 UCITS (Acc EUR),C40.FR,
Amundi Euro Stoxx 50 UCITS (Acc EUR),C50.FR,
Lyxor CAC 40 UCITS (Dist EUR),CAC.FR,
iShares USD Treasury Bond 7-10yr UCITS ETF USD (Acc USD),CBU0.UK,
Amundi Msci EM Asia UCITS (Acc EUR),AASI.FR,
iShares Ageing Population UCITS (Acc USD),AGED.UK,
iShares Core Global Aggregate Bond UCITS,AGGG.UK,
iShares Core Global Aggregate Bond UCITS ETF (Acc USD ),AGGU.UK,
ETFS Industrial Metals (Acc USD),AIGI.UK,
Amundi MSCI Emerging Markets UCITS (Acc EUR),AMEM.DE,
Lyxor China Enterprise Hscei UCITS (Acc EUR),ASI.FR,
L&G Battery Value-Chain UCITS,BATT.NL,
Beta ETF mWIG40TR Portfolio Closed-End Investment Fund (Acc PLN),BETAM40T.PL,
Beta ETF WIG20lev Portfolio Closed-End Investment Fund (Acc PLN),BETAW20LV.PL,
